	Adult obesity Value	Median household income Value
Lyon County,NV	-0.23692155269665852	0.06819486350863782
Tuscola County,MI	-0.10559958855796875	-0.36249537495395445
Franklin County,PA	-0.21503455867354357	0.21665914237013995
Shiawassee County,MI	0.2664793098349856	0.012740498853157476
Fulton County,PA	0.4196882679967891	0.028881394617432735
Clay County,FL	-0.543339469020268	0.8642926085555407
Fayette County,PA	1.1419590707595841	-0.864621062987151
Sanilac County,MI	0.7479931783435135	-0.45079086911001465
Charlotte County,FL	-1.0467403315519108	-0.35802067117771974
Citrus County,FL	-0.8497573853438762	-0.9060919783418979
Broward County,FL	-1.6158021761528993	0.30063974359911666
Greene County,PA	0.4196882679967891	0.17374992937303194
Calhoun County,FL	2.126873801799756	-0.9961453918386217
Mecklenburg County,VA	0.2008183277656407	-0.7369321945153101
Lunenburg County,VA	-0.7840964032745326	-0.8130021587113004
Madison County,VA	0.04760936960383598	0.38278252006285407
Middlesex County,VA	-1.1561753016674856	0.09576223498722675
Beadle County,SD	0.11327035167318086	0.14865962605628724
Cook County,IL	-1.3312712538524054	0.5861418256078073
Crawford County,IL	0.6385582082279387	-0.14651101232605335
Cumberland County,IL	-0.30258253476600216	0.14738113926307733
Union County,AR	0.9887501125977781	-0.5498735955837836
Stone County,AR	0.9012021365053194	-1.4153292491623246
Sharp County,AR	0.529123238112364	-1.248247006374703
Sevier County,AR	1.9298908555917202	-0.8556716554346816
Sebastian County,AR	0.9230891305284344	-0.6245052621374128
Branch County,MI	0.9012021365053194	-0.10799659768060448
Ashley County,AR	1.9298908555917202	-0.9226324012290512
Berrien County,MI	1.2295070468520426	-0.2858660727859348
Arkansas County,AR	0.6604452022510549	-0.9040144373029317
Cass County,MI	0.9012021365053194	0.024566501690349248
Benton County,AR	-0.565226463043383	0.7739195733605144
Calhoun County,MI	0.8136541604128597	-0.1443535658625116
Baxter County,AR	-0.4339044989046932	-0.787032895724224
Suwannee County,FL	0.46346225604302027	-0.7627416466532354
Charlevoix County,MI	-0.565226463043383	0.021450190131900065
Boone County,AR	-0.39013051085846323	-0.634733156483092
Union County,FL	1.7766818974299168	-0.6005336347647267
Volusia County,FL	-0.7622094092514163	-0.5466773786007587
Clarke County,AL	1.1200720767364678	-0.8871543927174759
Clay County,AL	1.4702639811063072	-0.9414900814288976
Chilton County,AL	1.3389420169676174	-0.5012111920172309
Cleburne County,AL	-0.21503455867354357	-0.5836735901792708
Latimer County,OK	0.9887501125977781	-0.9748905489015067
Ashe County,NC	-1.002966343505681	-0.8977019087614577
Panola County,MS	0.9012021365053194	-1.0544763517788245
Anson County,NC	0.7698801723666285	-1.2157254985724257
Alleghany County,NC	-1.1561753016674856	-0.9953463375928655
Alexander County,NC	0.44157526201990527	-0.3739218506682681
Alamance County,NC	0.5947842201817101	-0.5135166274018764
Panola County,TX	0.28836630385809936	0.08785159795424036
Erie County,NY	-0.981079349482566	0.1926875149974539
Westmoreland County,PA	-0.565226463043383	0.46452576940371343
Palo Pinto County,TX	-0.2588085467197735	-0.5481955816676956
Cortland County,NY	-0.7184354212051877	0.05069557552657702
